title,artist,year_spotify,year_override,title_override,spotifyId,type,embed,cover,playlist_url
Crazy Arms - Single Version,Ray Price,1989,,Crazy Arms,5Ok0MajTa5qstqlZXG1ezJ,track,true,https://i.scdn.co/image/ab67616d0000b2739a1cc3bf46170cb57b95b7e5,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
Heartaches By the Number,Ray Price,1987,,,4imYTftUBGtMP4DKfJRYyf,track,true,https://i.scdn.co/image/ab67616d0000b2736b3ff291369cd9bd6c2258cd,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
"Hey, Good Lookin'",Hank Williams,1953,,,0deAIqyKFFw55JDMGWTcdA,track,true,https://i.scdn.co/image/ab67616d0000b273058ec9749ace1aa96ab57829,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
Big Iron,Marty Robbins,1959,,,0AQquaENerGps8BQmbPw14,track,true,https://i.scdn.co/image/ab67616d0000b273084051346f432cc68a1279cd,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
Blue Eyes Crying In the Rain,Willie Nelson,2015,,,7ETtI1QTDcdI8yL55eXVOF,track,true,https://i.scdn.co/image/ab67616d0000b273cd06c30fffa0c176b7fe0065,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
Friday Night Blues,John Conlee,2003,,,01nBNJmUc9iTqFIbIAMMJ8,track,true,https://i.scdn.co/image/ab67616d0000b27359fd7098c8d69408cd98eac8,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
Always Wanting You,Merle Haggard,2012,,,2V6Od8vlSHAfFdKyVUnIuB,track,true,https://i.scdn.co/image/ab67616d0000b273b594b1d800b3999d9ee5c3a7,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
Mammas Don't Let Your Babies Grow up to Be Cowboys,"Waylon Jennings, Willie Nelson",1978,,,7nVQ8mo77KaUvhUQzh4vMy,track,true,https://i.scdn.co/image/ab67616d0000b273280d6a361098589217395a00,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
"Please Help Me, I'm Falling",Hank Locklin,2003,,,0dc0eU5THc1uE0Q0KV73XN,track,true,https://i.scdn.co/image/ab67616d0000b27351626ff4836e45a4dafa5cda,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
Coal Miner's Daughter - Single Version,Loretta Lynn,1971,,,3mM14WXoPaLRjjkmxHe99L,track,true,https://i.scdn.co/image/ab67616d0000b273105efc7e27696434d265db1b,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
Tulsa Time,Don Williams,1978,,,0cThXovxrvU68JuzYUXhJT,track,true,https://i.scdn.co/image/ab67616d0000b273dc818eefac30b87902131b72,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
I Ain't Never - Single Version,Webb Pierce,2001,,,57X5xjtkK1Mo9TYAcxgJlx,track,true,https://i.scdn.co/image/ab67616d0000b2734d1542ba6653ffd5cc46fe1a,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
The Gambler,Kenny Rogers,1978,,,5KqldkCunQ2rWxruMEtGh0,track,true,https://i.scdn.co/image/ab67616d0000b273c289ed4316aaab5a5b7376c1,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
Coat of Many Colors,Dolly Parton,1971,,,1l2Xmg54EUr3TDzNIaCr1z,track,true,https://i.scdn.co/image/ab67616d0000b2737fad1327fda63bea0e059072,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
My Special Angel,Bobby Helms,1957,,,6cen3TFIPFBq2VkUM4Fod8,track,true,https://i.scdn.co/image/ab67616d0000b27366827d5efbd7292e34b878b3,https://open.spotify.com/playlist/4jlGHd8V1pTJooFSGtNOhL?si=c4a42ad5befa4889
