title,artist,year_spotify,year_override,title_override,spotifyId,type,embed,cover,playlist_url
"Etude No. 4 in C-Sharp Minor, Op. 10, No. 4","Frédéric Chopin, Freddy Kempf",2004,,,1A8ZdrJsoM0zc6LIPzFBqU,track,true,https://i.scdn.co/image/ab67616d0000b2733718255083fc08d0fa63102f,https://open.spotify.com/playlist/603YB4fJa8aTKlB8gRrKw2?si=7cd571dfd0974c74
"Études d'exécution transcendante, S. 139: 8. Wilde Jagd in C Minor","Franz Liszt, Evgeny Kissin",1987,,,645y7Ox2K1XpHleGLoquGi,track,true,https://i.scdn.co/image/ab67616d0000b27342cccb6cb01c744cfc920a14,https://open.spotify.com/playlist/603YB4fJa8aTKlB8gRrKw2?si=7cd571dfd0974c74
"Ballade No. 2 in F Major, Op. 38","Frédéric Chopin, Freddy Kempf",2001,,,5IggDtrlAsqVJNa1FEZn6F,track,true,https://i.scdn.co/image/ab67616d0000b2735e1e93339802f480f058cd67,https://open.spotify.com/playlist/603YB4fJa8aTKlB8gRrKw2?si=7cd571dfd0974c74
"Chopin: 24 Préludes, Op. 28: No. 4 in E Minor","Frédéric Chopin, Eric Lu",2025,,,7esxF0jWY6UbuiLm2vupLN,track,true,https://i.scdn.co/image/ab67616d0000b273f5d827ee7ccf74569552d35b,https://open.spotify.com/playlist/603YB4fJa8aTKlB8gRrKw2?si=7cd571dfd0974c74
"12 Études, Op. 25: No. 12 in C Minor ""Ocean""","Frédéric Chopin, Maurizio Pollini",1984,,,0ZoUJFyFYkkNRnLUjpv0hE,track,true,https://i.scdn.co/image/ab67616d0000b27323255140767b6d821e07c00f,https://open.spotify.com/playlist/603YB4fJa8aTKlB8gRrKw2?si=7cd571dfd0974c74
"12 Études, Op. 25: No. 11 in A Minor ""Winter Wind""","Frédéric Chopin, Maurizio Pollini",1984,,,1lGZmABQXTYGYY5MZb9SJY,track,true,https://i.scdn.co/image/ab67616d0000b27323255140767b6d821e07c00f,https://open.spotify.com/playlist/603YB4fJa8aTKlB8gRrKw2?si=7cd571dfd0974c74
"12 Études, Op. 25: No. 5 in E Minor ""Wrong Note""","Frédéric Chopin, Murray Perahia",1985,,,3k0xdA91ZpDOBARDk1GV9l,track,true,https://i.scdn.co/image/ab67616d0000b273c8ea1c93c1c1a757d87d52fb,https://open.spotify.com/playlist/603YB4fJa8aTKlB8gRrKw2?si=7cd571dfd0974c74
"Chopin: 12 Études, Op. 10: No. 12 in C Minor ""Revolutionary""","Frédéric Chopin, Nikolai Lugansky",2000,,,6b2EdfCKDWMCNaaYNrXDHN,track,true,https://i.scdn.co/image/ab67616d0000b2737e0d88e10951837252d5a50e,https://open.spotify.com/playlist/603YB4fJa8aTKlB8gRrKw2?si=7cd571dfd0974c74
"Liebestraum, S. 541, No. 3","Franz Liszt, Evgeny Kissin",1987,,,5kOXNkG9ZWAn69stILZxaR,track,true,https://i.scdn.co/image/ab67616d0000b27342cccb6cb01c744cfc920a14,https://open.spotify.com/playlist/603YB4fJa8aTKlB8gRrKw2?si=7cd571dfd0974c74
"Études d'exécution transcendante, S. 139: 12. Chasse-neige in B-Flat Minor","Franz Liszt, Evgeny Kissin",1987,,,50kP8fYtGnw6DZy890oM5N,track,true,https://i.scdn.co/image/ab67616d0000b27342cccb6cb01c744cfc920a14,https://open.spotify.com/playlist/603YB4fJa8aTKlB8gRrKw2?si=7cd571dfd0974c74
"Clair de Lune, L. 32","Claude Debussy, Martin Jones",1994,,,5u5aVJKjSMJr4zesMPz7bL,track,true,https://i.scdn.co/image/ab67616d0000b2736e7bb273ff9cb1de1e1d4d0a,https://open.spotify.com/playlist/603YB4fJa8aTKlB8gRrKw2?si=7cd571dfd0974c74
"Miroirs, M. 43: III. Une barque sur l'océan","Maurice Ravel, Seong-Jin Cho",2025,,,7tqqjaAAS8K1Stnz5EpGVl,track,true,https://i.scdn.co/image/ab67616d0000b2732264802490e7acbc4c3124c7,https://open.spotify.com/playlist/603YB4fJa8aTKlB8gRrKw2?si=7cd571dfd0974c74
